,도 서 명,저자명,장르,출판사,
1,삼국유사,일연,한국문학,민음사,  
2,열하일기,박지원,한국문학,돌베개, 
3,유배지에서 보낸 편지,정약용,한국문학,창비,  
4,님의 침묵,한용운,한국문학,소와다리, 
5,태평천하,채만식,한국문학,문학과지성사,  
6,토지,박경리,한국문학,마로니에북스, 
7,하늘과 바람과 별과 시,윤동주,한국문학,소와다리,  
8,광장,최인훈,한국문학,문학과지성사, 
9,그 많던 싱아는 누가 다 먹었을까,박완서,한국문학,웅진지식하우스,  
10,무량수전 배흘림기둥에 기대서서,최순우,한국문학,학고제, 
11,고등어 ,공지영,한국문학,해냄,  
12,난장이가 쏘아올린 작은 공,조세희,한국문학,이성과힘, 
13,칼의 노래,김훈,한국문학,문학동네,  
14,세익스피어,세익스피어,외국문학,, 
15,"일리아드, 오딧세이아",호메로스,외국문학,,  
16,호밀밭의 파수꾼,제롬데이비드샐린저,외국문학,민음사, 
17,삼국지,나관중,외국문학,민음사,  
18,마담보바리 ,구스타프플로베르,외국문학,민음사, 
19,위대한유산,찰스디킨스,외국문학,민음사,  
20,죄와벌,도스토예프스키,외국문학,민음사, 
21,사람은 무엇으로 사는가,톨스토이,외국문학,더클래식,  
22,데미안,헤르만헤세,외국문학,민음사, 
23,위대한 개츠비,스콧피처제럴드,외국문학,문학동네,  
24,앵무새죽이기,하퍼리,외국문학,열린책들, 
25,인간실격,다자이오사무,외국문학,미르북컴퍼니,  
26,그리스인조르바,니코스카잔차스키,외국문학,열린책들, 
27,이갈리아의 딸들,게르드 브란튼베르그,외국문학,민음사,  
28,내이름은 빨강,오르한파묵,외국문학,민음사, 
29,전쟁은 여자의 얼굴을 하지 않았다,스베틀라나 알렉시예비치,외국문학,문학동네,  
30,참을수 없는 존재의 가벼움,밀란군데라,외국문학,민음사, 
31,설국,가와바타야스나리,외국문학,민음사,  
32,마음,나쓰메소세키,외국문학,현암사, 
33,남아 있는 나날,가즈오 이시구로,외국문학,민음사,  
34,발해고,유득공,역사,홍익출판사, 
35,진경시대,최완수,역사,돌베개,  
36,조선미술사,고유섭,역사,열화당, 
37,아리랑: 조선인혁명가 김산의 불꽃 같은 삶,님웨일즈,역사,동녘,  
38,조선과 그 예술,야나기무네요시,역사,신구문화사, 
39,대한민국사,한홍구,역사,한겨레신문사,  
40,나의문화유산 답사기,유홍준,역사,창비, 
41,새로 쓴 일본사,아사오냐오히로,역사,창비,  
42,사진과 그림으로 보는 케임브리지 중국사,페트리샤버클리,역사,시공사, 
43,북유럽신화,닐게이먼,역사,나무의철학,  
44,그리스로마신화,이윤기,역사,웅진지식하우스, 
45,서양미술사,에른스트곰브리치,역사,에경,  
46,이슬람문명,정수일,역사,창작과 비평사, 
47,슬픈열대,레비스트로스,역사,한길사,  
48,플라톤의 국가·정체,플라톤저/박종현역,철학사상,서광사, 
49,도덕경,노자,철학사상,현암사,  
50,자유론,존스튜어트 밀,철학사상,책세상, 
51,자본론,칼마르크스,철학사상,,  
52,꿈의해석,프로이트,철학사상,돋을새김, 
53,관계,지두크리슈나무르티,철학사상,고요아침,  
54,프로테스탄티즘의 윤리와 자본주의 정신,막스베버,철학사상,문예출판사, 
55,소피의 세계,요슈타인가아더/장영은,철학사상,현암사,  
56,동양학어떻게 할것인가,김용옥,철학사상,통나무, 
57,신생철학,윤노빈,철학사상,학민사,  
58,철학에세이,"조성오,이우일",철학사상,동녘, 
59,"붓다 안의 예수, 예수안의 붓다",나카무라하지메,철학사상,운주사,  
60,"인공지능의 시대, 인간을 다시 묻다",김재인,철학사상,동아시아, 
61,정의론,존롤스,철학사상,,
62,사피엔스,유발하라리,정치사회,김영사,  
63,플루언트,조승연,정치사회,와이즈베리, 
64,일의 발견,조안B.시울라,정치사회,다우,  
65,어떻게 살 것인가,유시민,정치사회,생각의길, 
66,미학에세이,진중권,정치사회,씨네21북스,  
67,강의,신영복,정치사회,볼베개, 
68,감시와 처벌,미셀푸코,정치사회,나남출판사,  
69,침묵의 봄 ,레이첼카슨,정치사회,에코리브로, 
